,korean_word,english_translation,mandarin_translation,mandarin_pinyin,category,difficulty
1893,녹음기,recorder,录音机,lùyīnjī,대중 매체,2
1894,화면,picture; image,画面,huàmiàn,대중 매체|컴퓨터와 인터넷,2
1895,벌어지다,widen,裂开，张开,lièkāi，zhāngkāi,문제 해결하기(분실 및 고장),2
1896,뚫리다,have a hole; be pierced,钻，打,zuān，dǎ,문제 해결하기(분실 및 고장),2
1897,뚫다,dig; pierce; bore,穿，钻,chuān，zuān,문제 해결하기(분실 및 고장),2
1898,번거롭다,inconvenient; cumbersome,繁杂，繁琐,fánzá，fánsuǒ,문제 해결하기(분실 및 고장),2
1899,기능,function; role,功能，机能,gōngnéng，jīnéng,문제 해결하기(분실 및 고장),2
1900,망가지다,be broken; be destroyed,被破坏，被打碎，被弄坏，被整坏,bèipòhuài，bèidǎsuì，bèinònghuài，bèizhěnghuài,문제 해결하기(분실 및 고장),2
1901,건전지,battery,电池，干电池,diànchí，gāndiànchí,문제 해결하기(분실 및 고장),2
1902,배터리,battery,电池,diànchí,문제 해결하기(분실 및 고장),2
1903,수리,repair; fixing,修理，维修,xiūlǐ，wéixiū,문제 해결하기(분실 및 고장),2
1904,수선,mending; repair,修理，维修,xiūlǐ，wéixiū,문제 해결하기(분실 및 고장),2
1905,용건,business; things to do,事情,shìqíng,문제 해결하기(분실 및 고장),2
1906,요청,request; appeal,要求，请求,yāoqiú，qǐngqiú,문제 해결하기(분실 및 고장),2
1907,교체,replacement; substitution,交替，更换，更替,jiāotì，gēnghuàn，gēngtì,문제 해결하기(분실 및 고장),2
1908,메우다,fill; fill up,填充，垫,tiánchōng，diàn,문제 해결하기(분실 및 고장),2
1909,손쉽다,easy,容易，轻松,róngyì，qīngsōng,문제 해결하기(분실 및 고장),2
1910,해결,solution; settlement,解决,jiějué,문제 해결하기(분실 및 고장),2
1911,기계,machine,机械，机器,jīxiè，jīqì,문제 해결하기(분실 및 고장),2
1912,신고,declaration,申报，登记,shēnbào，dēngjì,문제 해결하기(분실 및 고장),2
1913,스위치,switch,开关,kāiguān,문제 해결하기(분실 및 고장),2
1914,기구,utensil; tool; implement,器具，用具,qìjù，yòngjù,문제 해결하기(분실 및 고장),2
1915,분실물,lost article,失物,shīwù,문제 해결하기(분실 및 고장),2
1916,부품,part; component,零件，配件，元件,língjiàn，pèijiàn，yuánjiàn,문제 해결하기(분실 및 고장),2
1917,문제점,problem; drawback,问题点，问题,wèntídiǎn，wèntí,문제 해결하기(분실 및 고장),2
1918,분실,loss,遗失，丢失,yíshī，diūshī,문제 해결하기(분실 및 고장),2
1919,버튼,button,按钮,ànniǔ,문제 해결하기(분실 및 고장),2
1920,악취,odor; stink,恶臭,èchòu,문제 해결하기(분실 및 고장),2
1921,수리비,repair cost,修理费，维修费,xiūlǐfèi，wéixiūfèi,문제 해결하기(분실 및 고장),2
1922,제거,removal,除去，消除,chúqù，xiāochú,문제 해결하기(분실 및 고장),2
1923,편견,prejudice; bias,偏见,piānjiàn,문화 비교하기,2
1924,교류,mixture of currents; intersection of streams,汇流，交汇,huìliú，jiāohuì,문화 비교하기,2
1925,기도,prayer,祈祷，祷告,qídǎo，dǎogào,문화 비교하기,2
1926,시선,eyes; gaze,视线,shìxiàn,문화 비교하기,2
1927,절,prostration bow,鞠躬，磕头,jūgōng，kētóu,문화 비교하기,2
1928,교포,overseas Korean,侨胞,qiáobāo,문화 비교하기,2
1929,전통,tradition; heritage,传统,chuántǒng,문화 비교하기,2
1930,제도,institution; system,制度,zhìdù,문화 비교하기,2
1931,문명,civilization,文明,wénmíng,문화 비교하기,2
1932,세대,generation,辈，代,bèi，dài,문화 비교하기,2
1933,종교,religion,宗教,zōngjiào,문화 비교하기,2
1934,풍습,manners and customs,风习,fēngxí,문화 비교하기,2
1935,서양인,westerner,西方人,xīfāngrén,문화 비교하기,2
1936,고유,uniqueness,固有,gùyǒu,문화 비교하기,2
1937,동양인,Asian,(无对应词汇),(wúduìyìngcíhuì),문화 비교하기,2
1938,뒤지다,fall behind; lag behind,落后，亚于,luòhòu，yàyú,문화 비교하기,2
1939,문화재,cultural asset; cultural property,文化资产,wénhuàzīchǎn,문화 비교하기,2
1940,절,Buddhist temple,庙,miào,문화 비교하기,2
1941,입대,joining an army; enlistment,入伍，参军,rùwǔ，cānjūn,문화 비교하기,2
1942,유교,Confucianism,儒教,rújiào,문화 비교하기,2
1943,풍속,custom,风俗，习俗,fēngsú，xísú,문화 비교하기,2
1944,도자기,pottery,陶瓷,táocí,문화 비교하기,2
1945,전통적,being traditional,传统的,chuántǒngde,문화 비교하기,2
1946,불교,Buddhism,佛教,fójiào,문화 비교하기,2
1947,극복,conquest; subjugation,克服,kèfú,문화 비교하기,2
1948,동양,Orient,东方,dōngfāng,문화 비교하기,2
1949,기독교,Christianity; Christian religion,基督教,jīdūjiào,문화 비교하기,2
1950,아시아,Asia,亚洲,yàzhōu,문화 비교하기,2
1951,신부,Father; Catholic priest,神父,shénfù,문화 비교하기,2
1952,스님,Buddhist monk,师傅,shīfù,문화 비교하기,2
1953,중,monk;  Buddhist monk,僧，和尚,sēng，héshàng,문화 비교하기,2
1954,부처,Buddha,佛祖,fózǔ,문화 비교하기,2
1955,신앙,faith; religious belief,信仰，崇拜,xìnyǎng，chóngbài,문화 비교하기,2
1956,동포,compatriot,同胞,tóngbāo,문화 비교하기,2
1957,신세대,new generation; young generation,新一代，新生代,xīnyídài，xīnshēngdài,문화 비교하기,2
1958,국제화,internationalization,国际化,guójìhuà,문화 비교하기,2
1959,성당,Catholic church,教堂，天主堂,jiàotáng，tiānzhǔtáng,문화 비교하기,2
1960,구세대,old generation,老一代，老一辈,lǎoyídài，lǎoyībèi,문화 비교하기,2
1961,문화적,being cultural,文化的,wénhuàde,문화 비교하기,2
1962,국외,outside a territory,国外,guówài,문화 비교하기,2
1963,아프리카,Africa,非洲,fēizhōu,문화 비교하기,2
1964,천주교,Catholicism,天主教,tiānzhǔjiào,문화 비교하기,2
1965,전통적,traditional,传统的,chuántǒngde,문화 비교하기,2
1966,국제결혼,international marriage; marrying someone with a different nationality,国际结婚，跨国婚姻,guójìjiéhūn，kuàguóhūnyīn,문화 비교하기,2
1967,문화적,cultural,文化的,wénhuàde,문화 비교하기,2
1968,민속놀이,folk play; traditional game,民俗游戏,mínsúyóuxì,문화 비교하기,2
1969,양국,both countries; two countries,两国,liǎngguó,문화 비교하기,2
1970,거스름돈,change,找头，零钱,zhǎotou，língqián,물건 사기,2
1971,저렴하다,cheap,便宜,piányi,물건 사기,2
1972,잔돈,balance,零钱,língqián,물건 사기,2
1973,소비,consumption,消费，消耗,xiāofèi，xiāohào,물건 사기,2
1974,결제,payment; settlement; liquidation,结算，结账，买单,jiésuàn，jiézhàng，mǎidān,물건 사기,2
1975,물가,prices,物价,wùjià,물건 사기,2
1976,제품,product,产品，制品,chǎnpǐn，zhìpǐn,물건 사기,2
1977,품질,quality,品质，质量,pǐnzhì，zhìliàng,물건 사기,2
1978,금액,amount,金额,jīn'é,물건 사기,2
1979,판매,sale; selling,销售,xiāoshòu,물건 사기,2
1980,고객,customer; guest; patron; client; clientele,顾客,gùkè,물건 사기,2
1981,매장,store,卖场，商场,màichǎng，shāngchǎng,물건 사기,2
1982,사인,signature,签字，署名,qiānzì，shǔmíng,물건 사기,2
1983,낭비,waste,浪费,làngfèi,물건 사기,2
1984,과소비,overconsumption,过度消费，超额消费,guòdùxiāofèi，chāo'éxiāofèi,물건 사기,2
1985,구입,purchase; buying,购入，购买，购置,gòurù，gòumǎi，gòuzhì,물건 사기,2
1986,소비자,consumer,消费者,xiāofèizhě,물건 사기,2
1987,구매,purchase; buying,购买，购置,gòumǎi，gòuzhì,물건 사기,2
1988,환불,refund; money back,退款，退钱，退还,tuìkuǎn，tuìqián，tuìhuán,물건 사기,2
1989,배송,delivery,发货，配送,fāhuò，pèisòng,물건 사기,2
1990,택하다,select; choose,选择,xuǎnzé,물건 사기,2
1991,값싸다,cheap; low-priced,廉价，低价,liánjià，dījià,물건 사기,2
1992,코너,corner,拐角,guǎijiǎo,물건 사기,2
1993,봉지,bag; pouch,袋子,dàizi,물건 사기,2
1994,중고,being secondhand,旧,jiù,물건 사기,2
1995,할부,paying in installments ,分期付款，分期支付,fēnqīfùkuǎn，fēnqīzhīfù,물건 사기,2
1996,점원,clerk,店员,diànyuán,물건 사기,2
1997,반품,return,退货,tuìhuò,물건 사기,2
1998,일시불,lump-sum payment,一次付清,yīcìfùqīng,물건 사기,2
1999,세일,sale,打折，减价，促销,dǎzhé，jiǎnjià，cùxiāo,물건 사기,2
2000,달러,dollar,美元，美金,měiyuán，měijīn,물건 사기,2
2001,단골,favorite store,常来往的，很熟的,chángláiwǎngde，hěnshúde,물건 사기,2
2002,국산,being domestic,国产,guóchǎn,물건 사기,2
2003,지폐,bill,纸币,zhǐbì,물건 사기,2
2004,시중,market,市里，市场,shìlǐ，shìchǎng,물건 사기,2
2005,계산대,cash register; checkout; counter,柜台，收银台,guìtái，shōuyíntái,물건 사기,2
2006,계산기,calculator,计算器,jìsuànqì,물건 사기,2
2007,수표,check,支票,zhīpiào,물건 사기,2
2008,달러,dollar,美元,měiyuán,물건 사기,2
2009,매점,snack bar; shop,小卖部，小卖店，小铺,xiǎomàibù，xiǎomàidiàn，xiǎopù,물건 사기,2
2010,신제품,new product,新产品,xīnchǎnpǐn,물건 사기,2
2011,지불,payment; disbursement,支付，付给，付款,zhīfù，fùgěi，fùkuǎn,물건 사기,2
2012,상가,shopping complex; shopping mall,商场，商家,shāngchǎng，shāngjiā,물건 사기,2
2013,저울,scale,秤,chèng,물건 사기,2
2014,상점,store; shop,商店,shāngdiàn,물건 사기,2
2015,수입품,imports,进口产品,jìnkǒuchǎnpǐn,물건 사기,2
2016,슈퍼,supermarket; grocery store,超市,chāoshì,물건 사기,2
2017,그램,gram,克,kè,물건 사기,2
2018,신상품,new product,新品，新产品,xīnpǐn，xīnchǎnpǐn,물건 사기,2
2019,쇼핑센터,shopping center,购物中心,gòuwùzhōngxīn,물건 사기,2
2020,싸구려,cheap thing; inferior article,便宜货，廉价货,piányíhuò，liánjiàhuò,물건 사기,2
2021,반값,half price,半价，五折,bànjià，wǔzhé,물건 사기,2
2022,전문점,specialty store,专卖店,zhuānmàidiàn,물건 사기,2
2023,싼값,low price,廉价，贱价,liánjià，jiànjià,물건 사기,2
2024,할인점,discount store; outlet,折扣店，打折店，打折商店,zhékòudiàn，dǎzhédiàn，dǎzhéshāngdiàn,물건 사기,2
2025,포장지,wrapping paper; wrapper,包装纸,bāozhuāngzhǐ,물건 사기,2
2026,걸치다,hang,落，挂,luò，guà,복장 표현하기,2
2027,묶다,tie; bind; fasten,系，打结,xì，dǎjié,복장 표현하기,2
2028,씌우다,put something on; cover,使戴上，使盖上,shǐdàishàng，shǐgàishàng,복장 표현하기,2
2029,개다,fold up,叠,dié,복장 표현하기,2
2030,끼우다,stick in; fasten,插，夹，掖,chā，jiā，yē,복장 표현하기,2
2031,벗기다,take off,脱下，拿掉,tuōxià，nádiào,복장 표현하기,2
2032,맨발,bare foot,光脚，赤脚,guāngjiǎo，chìjiǎo,복장 표현하기,2
2033,짙다,dark; thick,深,shēn,복장 표현하기,2
2034,주름,wrinkle,皱纹,zhòuwén,복장 표현하기,2
2035,두르다,put something around; wear,围，扎,wéi，zhā,복장 표현하기,2
2036,검다,black; dark,黑,hēi,복장 표현하기,2
2037,가죽,skin,皮,pí,복장 표현하기,2
2038,의복,clothes; garment,衣服,yīfú,복장 표현하기,2
2039,채우다,lock,锁,suǒ,복장 표현하기,2
2040,고급,high quality; high grade,高级，高档,gāojí，gāodàng,복장 표현하기,2
2041,고급스럽다,luxurious; exclusive; high-class,高档，高级,gāodàng，gāojí,복장 표현하기,2
2042,소매,sleeve,袖子,xiùzi,복장 표현하기,2
2043,정장,formal wear; suit,正装,zhèngzhuāng,복장 표현하기,2
2044,허리띠,belt,腰带,yāodài,복장 표현하기,2
2045,빛깔,color; hue; tint,色彩,sècǎi,복장 표현하기,2
2046,무늬,pattern,纹，纹路,wén，wénlù,복장 표현하기,2
2047,벨트,belt,腰带,yāodài,복장 표현하기,2
2048,의류,clothes; clothing; garments,服装，服饰,fúzhuāng，fúshì,복장 표현하기,2
2049,코트,overcoat; coat,大衣,dàyī,복장 표현하기,2
2050,호주머니,pocket,口袋,kǒudài,복장 표현하기,2
2051,세로,height; length,纵，竖，立着,zòng，shù，lìzhe,복장 표현하기,2
2052,겉옷,outerwear,外衣，外套,wàiyī，wàitào,복장 표현하기,2
2053,선글라스,sunglasses,墨镜，太阳镜,mòjìng，tàiyángjìng,복장 표현하기,2
2054,보물,treasure,宝物，宝贝,bǎowù，bǎobèi,복장 표현하기,2
2055,셔츠,shirt,衬衫,chènshān,복장 표현하기,2
2056,의상,clothes; garment,服装，衣裳,fúzhuāng，yīshang,복장 표현하기,2
2057,긴팔,long sleeve,长袖,chángxiù,복장 표현하기,2
2058,손목시계,wristwatch,手表,shǒubiǎo,복장 표현하기,2
2059,초록,green,草绿，草绿色,cǎolǜ，cǎolǜsè,복장 표현하기,2
2060,재킷,jacket,外套,wàitào,복장 표현하기,2
2061,신,shoes; footwear,鞋，屣,xié，xǐ,복장 표현하기,2
2062,패션,fashion,服装，时装,fúzhuāng，shízhuāng,복장 표현하기,2
2063,보석,jewel,宝石,bǎoshí,복장 표현하기,2
2064,세로,high; long,纵，竖,zòng，shù,복장 표현하기,2
2065,빨강,red,红色，红色染料,hóngsè，hóngsèrǎnliào,복장 표현하기,2
2066,반팔,short-sleeved shirt; half-sleeved shirt,短袖，半袖,duǎnxiù，bànxiù,복장 표현하기,2
2067,꽃무늬,floral pattern,花纹,huāwén,복장 표현하기,2
2068,잠옷,nightclothes; sleepwear,睡衣,shuìyī,복장 표현하기,2
2069,드레스,dress,(连衣裙式)礼服,(liányīqúnshì)lǐfú,복장 표현하기,2
2070,줄무늬,stripe,条纹,tiáowén,복장 표현하기,2
2071,노랑,yellow,黄,huáng,복장 표현하기,2
2072,지퍼,zipper,拉链，拉锁,lāliàn，lāsuǒ,복장 표현하기,2
2073,부츠,boot,靴子,xuēzi,복장 표현하기,2
2074,스타킹,stockings; pantyhose,长筒袜，长丝袜,zhǎngtǒngwà，zhǎngsīwà,복장 표현하기,2
2075,핸드백,handbag; purse,手提包，手包,shǒutíbāo，shǒubāo,복장 표현하기,2
2076,리본,ribbon,缎带，飘带,duàndài，piāodài,복장 표현하기,2
2077,손가방,handbag; purse,手提包,shǒutíbāo,복장 표현하기,2
2078,파랑,blue,蓝,lán,복장 표현하기,2
2079,점퍼,jacket,夹克,jiákè,복장 표현하기,2
2080,조끼,vest,坎肩,kǎnjiān,복장 표현하기,2
2081,드라이클리닝,dry-cleaning,干洗,gānxǐ,복장 표현하기,2
2082,샌들,sandals,凉鞋,liángxié,복장 표현하기,2
2083,하양,white ,白色，白,báisè，bái,복장 표현하기,2
2084,체크무늬,checked pattern,格纹，格子纹,géwén，géziwén,복장 표현하기,2
2085,팬티,panties; briefs,内裤,nèikù,복장 표현하기,2
2086,밤색,chestnut; nutbrown color; maroon,栗色,lìsè,복장 표현하기,2
2087,외출복,clothes for going out; outing wear,外出服,wàichūfú,복장 표현하기,2
2088,최고급,the highest grade; top-level,最高级,zuìgāojí,복장 표현하기,2
2089,스커트,skirt,半身裙,bànshēnqún,복장 표현하기,2
2090,백,bag,袋，皮包，手提包,dài，píbāo，shǒutíbāo,복장 표현하기,2
2091,겉모습,appearance; look,外表，外貌,wàibiǎo，wàimào,복장 표현하기|외모 표현하기,2
2092,옷차림,attired appearance,穿着，衣着，打扮,chuānzhe，yīzhuó，dǎbàn,복장 표현하기|외모 표현하기,2
2093,부딪치다,hit; bump; crash,撞击，碰撞,zhuàngjī，pèngzhuàng,"사건, 사고, 재해 기술하기",2
2094,부딪히다,be bumped into; be run against,撞，碰,zhuàng，pèng,"사건, 사고, 재해 기술하기",2
2095,끼다,be stuck in; be fastened,被夹住,bèijiāzhù,"사건, 사고, 재해 기술하기",2
2096,피해,harm; damage; loss,被害，受害，遇害,bèihài，shòuhài，yùhài,"사건, 사고, 재해 기술하기",2
2097,심각하다,serious; grave,严重,yánzhòng,"사건, 사고, 재해 기술하기",2
2098,부서지다,be shattered,碎，裂,suì，liè,"사건, 사고, 재해 기술하기",2
2099,감소,reduction,减少，下降,jiǎnshǎo，xiàjiàng,"사건, 사고, 재해 기술하기",2
2100,무너지다,be pulled down; be torn down; be crumbled,倒塌，坍塌,dǎotā，tāntā,"사건, 사고, 재해 기술하기",2
2101,일으키다,raise someone up; pick up; lift up,扶起,fúqǐ,"사건, 사고, 재해 기술하기",2
2102,손해,damage,损失,sǔnshī,"사건, 사고, 재해 기술하기",2
2103,사건,incident; event; affair; accident; case,事件，案件,shìjiàn，ànjiàn,"사건, 사고, 재해 기술하기",2
2104,폭력,violence,暴力,bàolì,"사건, 사고, 재해 기술하기",2
2105,연기,smoke,烟，烟气,yān，yānqì,"사건, 사고, 재해 기술하기",2
2106,잠기다,be locked; be fastened,被锁,bèisuǒ,"사건, 사고, 재해 기술하기",2
2107,잇따르다,follow,跟着,gēnzhe,"사건, 사고, 재해 기술하기",2
2108,피해자,victim; sufferer,受害人，受害者，被害人，被害者,shòuhàirén，shòuhàizhě，bèihàirén，bèihàizhě,"사건, 사고, 재해 기술하기",2
2109,구하다,save,救，救助，营救,jiù，jiùzhù，yíngjiù,"사건, 사고, 재해 기술하기",2
2110,싸움,fight; struggle,争斗，打架，战斗,zhēngdòu，dǎjià，zhàndòu,"사건, 사고, 재해 기술하기",2
2111,홍수,flood; torrent,洪水,hóngshuǐ,"사건, 사고, 재해 기술하기",2
2112,책임지다,be in charge,负责，负责任，承担责任,fùzé，fùzérèn，chéngdānzérèn,"사건, 사고, 재해 기술하기",2
2113,중독,being poisoned,中毒,zhòngdú,"사건, 사고, 재해 기술하기",2
2114,현장,field; spot,现场,xiànchǎng,"사건, 사고, 재해 기술하기",2
2115,치다,rain; snow; blow; pour,吹，大作,chuī，dàzuò,"사건, 사고, 재해 기술하기",2
2116,잠기다,be submerged; be soaked,浸，泡，没,jìn，pào，méi,"사건, 사고, 재해 기술하기",2
2117,도둑,steal,偷，盗窃,tōu，dàoqiè,"사건, 사고, 재해 기술하기",2
2118,경기,economy; business,经济状况,jīngjìzhuàngkuàng,"사건, 사고, 재해 기술하기",2
2119,부수다,break; smash,打破，砸碎,dǎpò，zásuì,"사건, 사고, 재해 기술하기",2
2120,큰일,big project,大事,dàshì,"사건, 사고, 재해 기술하기",2
2121,질서,order,秩序,zhìxù,"사건, 사고, 재해 기술하기",2
2122,파도,wave,波涛，浪涛，波浪,bōtāo，làngtāo，bōlàng,"사건, 사고, 재해 기술하기",2
2123,화재,fire,火灾,huǒzāi,"사건, 사고, 재해 기술하기",2
2124,증거,evidence,证据,zhèngjù,"사건, 사고, 재해 기술하기",2
2125,파괴,destruction; devastation,破坏,pòhuài,"사건, 사고, 재해 기술하기",2
2126,사기,swindling; fraud; deception; cheating,欺诈,qīzhà,"사건, 사고, 재해 기술하기",2
2127,살아오다,live,活下来,huóxiàlái,"사건, 사고, 재해 기술하기",2
2128,폭우,heavy rain; downpour,暴雨,bàoyǔ,"사건, 사고, 재해 기술하기",2
2129,죄,guilt; sin,罪，罪孽,zuì，zuìniè,"사건, 사고, 재해 기술하기",2
2130,해,harm; damage,害,hài,"사건, 사고, 재해 기술하기",2
2131,구조,rescue,救助，营救，拯救,jiùzhù，yíngjiù，zhěngjiù,"사건, 사고, 재해 기술하기",2
2132,자살,suicide; self-murder; self-destruction,自杀,zìshā,"사건, 사고, 재해 기술하기",2
2133,조작,forgery,捏造,niēzào,"사건, 사고, 재해 기술하기",2
2134,공격,attack; raid,进攻，攻打,jìngōng，gōngdǎ,"사건, 사고, 재해 기술하기",2
2135,폭설,heavy snow; high snowfall,暴雪,bàoxuě,"사건, 사고, 재해 기술하기",2
2136,책임자,person in charge,负责人,fùzérén,"사건, 사고, 재해 기술하기",2
2137,중단,suspension,中断，中止,zhōngduàn，zhōngzhǐ,"사건, 사고, 재해 기술하기",2
2138,살아남다,survive,幸存，存活,xìngcún，cúnhuó,"사건, 사고, 재해 기술하기",2
2139,충돌,collision; clash,冲突，碰撞，冲撞,chōngtū，pèngzhuàng，chōngzhuàng,"사건, 사고, 재해 기술하기",2
2140,접촉,contact,接触,jiēchù,"사건, 사고, 재해 기술하기",2
2141,승객,passenger,乘客,chéngkè,"사건, 사고, 재해 기술하기",2
2142,폭발,outburst,爆发，发作,bàofā，fāzuò,"사건, 사고, 재해 기술하기",2
2143,진술,statement,陈述,chénshù,"사건, 사고, 재해 기술하기",2
2144,살인,murder; killing,杀人,shārén,"사건, 사고, 재해 기술하기",2
2145,취재,gathering news materials; coverage,采访，取材,cǎifǎng，qǔcái,"사건, 사고, 재해 기술하기",2
2146,산불,bush fire; forest fire,山火,shānhuǒ,"사건, 사고, 재해 기술하기",2
2147,비상구,emergency exit,安全出口，紧急出口,ānquánchūkǒu，jǐnjíchūkǒu,"사건, 사고, 재해 기술하기",2
2148,실종,disappearance; missing,失踪,shīzōng,"사건, 사고, 재해 기술하기",2
2149,탈출,escape,脱身，逃脱，逃出，逃跑,tuōshēn，táotuō，táochū，táopǎo,"사건, 사고, 재해 기술하기",2
2150,소방서,fire station,消防站,xiāofángzhàn,"사건, 사고, 재해 기술하기",2
2151,소방차,fire engine; fire truck,消防车,xiāofángchē,"사건, 사고, 재해 기술하기",2
2152,유치하다,attract; invite,招揽，引诱；吸引,zhāolǎn，yǐnyòu；xīyǐn,성격 표현하기,2
2153,원만하다,mild; good-tempered; good-natured,宽厚，友善,kuānhòu，yǒushàn,성격 표현하기,2
2154,활발하다,lively; cheerful; outgoing; vigorous,活泼，活跃，生龙活虎,huópō，huóyuè，shēnglónghuóhǔ,성격 표현하기,2
2155,깔끔하다,clean; neat	,洁净，利落,jiéjìng，lìluò,성격 표현하기,2
2156,꼼꼼하다,meticulous; elaborate; careful,细密，细致,xìmì，xìzhì,성격 표현하기,2
2157,사랑스럽다,lovely; adorable,可爱,kě'ài,성격 표현하기,2
2158,순하다,meek; mild; docile,温顺，驯良,wēnshùn，xùnliáng,성격 표현하기,2
2159,진지하다,serious,真挚，诚恳,zhēnzhì，chéngkěn,성격 표현하기,2
2160,따지다,question closely,辨别，探个究竟，追问到底,biànbié，tàngèjiūjìng，zhuīwèndàodǐ,성격 표현하기,2
2161,변덕스럽다,whimsical; changeable; inconstant,变化无常，善变,biànhuàwúcháng，shànbiàn,성격 표현하기,2
2162,엉뚱하다,strange; bizzare; eccentric,出乎意料，意想不到,chūhūyìliào，yìxiǎngbùdào,성격 표현하기,2
2163,까먹다,peel and eat,剥着吃,bōzhechī,성격 표현하기,2
2164,까다롭다,complex; intricate,棘手，难办,jíshǒu，nánbàn,성격 표현하기,2
2165,적극적,being active,积极的,jījíde,성격 표현하기,2
2166,너그럽다,generous; charitable,宽厚，大度,kuānhòu，dàdù,성격 표현하기,2
2167,점잖다,calm,端庄，庄重，斯文,duānzhuāng，zhuāngzhòng，sīwén,성격 표현하기,2
2168,못되다,nasty; naughty,恶劣，坏,èliè，huài,성격 표현하기,2
2169,긍정적,being positive; being affirmative,肯定的，认可的,kěndìngde，rènkěde,성격 표현하기,2
2170,예의,courtesy; manners,礼仪，礼节，礼貌,lǐyí，lǐjié，lǐmào,성격 표현하기,2
2171,개성,characteristic,个性,gèxìng,성격 표현하기,2
2172,소극적,being passive,消极的，不主动的,xiāojíde，bùzhǔdòngde,성격 표현하기,2
2173,고집,persistence; stubbornness; obstinacy,固执，坚持,gùzhí，jiānchí,성격 표현하기,2
2174,느긋하다,comfortable; relaxed; carefree,轻松，悠闲,qīngsōng，yōuxián,성격 표현하기,2
2175,공손하다,polite; civil; well-mannered,恭敬,gōngjìng,성격 표현하기,2
2176,지혜롭다,wise,智慧，聪明，聪慧,zhìhuì，cōngmíng，cōnghuì,성격 표현하기,2
2177,씩씩하다,lively; spirited; energetic,生气勃勃，朝气蓬勃,shēngqìbóbó，zhāoqìpéngbó,성격 표현하기,2
2178,자신감,self-assurance; confidence,自信感，自信心,zìxìngǎn，zìxìnxīn,성격 표현하기,2
2179,냉정하다,cold; callous; indifferent,冷漠，冷冰冰,lěngmò，lěngbīngbīng,성격 표현하기,2
2180,부정적,being contradictory,否定的,fǒudìngde,성격 표현하기,2
2181,어리석다,silly; stupid; idiotic,愚蠢，傻,yúchǔn，shǎ,성격 표현하기,2
2182,용기,courage; guts,勇气,yǒngqì,성격 표현하기,2
2183,자유롭다,free,自由，自由自在,zìyóu，zìyóuzìzài,성격 표현하기,2
2184,열정,passion,热情，干劲，炽热,rèqíng，gànjìn，chìrè,성격 표현하기,2
2185,개방,opening; opening to the public,开放，对外开放,kāifàng，duìwàikāifàng,성격 표현하기,2
2186,순수하다,pure,纯正，纯粹,chúnzhèng，chúncuì,성격 표현하기,2
2187,맘,mind; nature,心地，心性,xīndì，xīnxìng,성격 표현하기,2
2188,수동적,being passive,被动的,bèidòngde,성격 표현하기,2
2189,자존심,pride; self-respect,自尊心,zìzūnxīn,성격 표현하기,2
2190,책임감,sense of responsibility,责任感，责任心,zérèngǎn，zérènxīn,성격 표현하기,2
2191,영리하다,clever; bright; intelligent,伶俐，机灵，聪敏，精灵,línglì，jīlíng，cōngmǐn，jīnglíng,성격 표현하기,2
2192,내성적,being introverted,内向的,nèixiàngde,성격 표현하기,2
2193,지혜,wisdom,智慧,zhìhuì,성격 표현하기,2
2194,마음씨,temper,心地,xīndì,성격 표현하기,2
2195,활기,vitality; energy; life,朝气，活力，生气，生机,zhāoqì，huólì，shēngqì，shēngjī,성격 표현하기,2
2196,인격,personality; individuality; character,人格,réngé,성격 표현하기,2
2197,솔직하다,frank; honest,坦诚，坦率,tǎnchéng，tǎnshuài,성격 표현하기,2
2198,겸손,modesty; humility,谦虚，谦逊,qiānxū，qiānxùn,성격 표현하기,2
2199,인간적,being human,人的，人类的,rénde，rénlèide,성격 표현하기,2
2200,자신,confidence,自信,zìxìn,성격 표현하기,2
2201,인간성,human nature; humanity,人性,rénxìng,성격 표현하기,2
2202,용감하다,brave; courageous,勇敢,yǒnggǎn,성격 표현하기,2
2203,활동적,being active; being energetic,有活力的，活动性强的,yǒuhuólìde，huódòngxìngqiángde,성격 표현하기,2
2204,이기적,being selfish; being egoistic; being egocentric,利己的,lìjǐde,성격 표현하기,2
2205,다정,warm-heartedness; affection,多情，深情，亲密,duōqíng，shēnqíng，qīnmì,성격 표현하기,2
2206,수다,prattle; chatter,废话，啰嗦，唠叨,fèihuà，luōsuo，láodāo,성격 표현하기,2
2207,비판적,critical,批评性，批判的,pīpíngxìng，pīpànde,성격 표현하기,2
2208,말투,manner of speaking,语气，口气,yǔqì，kǒuqì,성격 표현하기,2
2209,속이다,deceive,骗，欺骗,piàn，qīpiàn,성격 표현하기,2
2210,적극적,active,积极的,jījíde,성격 표현하기,2
2211,소극적,passive,消极的，不主动的,xiāojíde，bùzhǔdòngde,성격 표현하기,2
2212,얌전,being docile; being meek,规矩，斯文，文静,guījǔ，sīwén，wénjìng,성격 표현하기,2
2213,마음속,innermost thoughts; mind,内心，心底,nèixīn，xīndǐ,성격 표현하기,2
2214,긍정적,affirmative,肯定的，认可的,kěndìngde，rènkěde,성격 표현하기,2
2215,적극,being strong; being positive; being active,积极,jījí,성격 표현하기,2
2216,꼼꼼히,elaborately; punctiliously; carefully,细密地，细致地,xìmìdì，xìzhìdì,성격 표현하기,2
2217,부지런히,diligently,勤奋地，勤快地，勤勉地,qínfèndì，qínkuàidì，qínmiǎndì,성격 표현하기,2
2218,내성적,introvert,内向的,nèixiàngde,성격 표현하기,2
